"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.3739,0.22309,0.49307,9.3662,0.2304,0.48872,8.1859,1,2.4184,13.098,12.25,6.845
9.3708,0.22424,0.49588,9.3629,0.23165,0.4915,8.221,1,2.4285,13.108,12.25,6.845
9.3675,0.22568,0.49904,9.3594,0.23324,0.4946,8.2628,1,2.4385,13.119,12.25,6.845
9.3641,0.22725,0.50234,9.3559,0.23499,0.49783,8.3074,1,2.4485,13.129,12.25,6.845
9.3607,0.22881,0.50564,9.3523,0.23674,0.50106,8.3521,1,2.4586,13.139,12.25,6.845
9.3574,0.23038,0.50894,9.3487,0.23849,0.5043,8.3967,1,2.4686,13.149,12.25,6.845
9.354,0.23194,0.51224,9.3452,0.24023,0.50753,8.4414,1,2.4786,13.159,12.25,6.845
9.3507,0.23351,0.51554,9.3416,0.24198,0.51076,8.486,1,2.4887,13.169,12.25,6.845
9.3473,0.23507,0.51884,9.3381,0.24373,0.514,8.5307,1,2.4987,13.179,12.25,6.845
9.344,0.23663,0.52214,9.3345,0.24548,0.51723,8.5753,1,2.5087,13.189,12.25,6.845
9.3406,0.2382,0.52544,9.331,0.24722,0.52046,8.62,1,2.5188,13.199,12.25,6.845
9.3372,0.23976,0.52875,9.3274,0.24897,0.52369,8.6646,1,2.5288,13.209,12.25,6.845
