"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.9873,0.3618,-0.38779,8.9827,0.35303,-0.39221,12.903,1,2.2779,12.958,12.25,3.155
8.9826,0.36418,-0.39151,8.9778,0.35525,-0.39602,12.958,1,2.288,12.968,12.25,3.155
8.9778,0.36655,-0.39522,8.9729,0.35746,-0.39983,13.014,1,2.298,12.978,12.25,3.155
8.9731,0.36892,-0.39894,8.968,0.35968,-0.40364,13.069,1,2.3081,12.988,12.25,3.155
8.9683,0.3713,-0.40266,8.9631,0.3619,-0.40745,13.125,1,2.3181,12.998,12.25,3.155
8.9636,0.37367,-0.40637,8.9583,0.36412,-0.41126,13.18,1,2.3281,13.008,12.25,3.155
8.9588,0.37605,-0.41009,8.9534,0.36634,-0.41507,13.235,1,2.3382,13.018,12.25,3.155
8.9541,0.37842,-0.41381,8.9485,0.36856,-0.41888,13.291,1,2.3482,13.028,12.25,3.155
8.9493,0.38079,-0.41752,8.9436,0.37078,-0.42269,13.346,1,2.3582,13.038,12.25,3.155
8.9445,0.38311,-0.42125,8.9387,0.37294,-0.42651,13.403,1,2.3683,13.048,12.25,3.155
8.9394,0.38533,-0.42512,8.9335,0.37495,-0.43047,13.464,1,2.3783,13.058,12.25,3.155
8.9343,0.38798,-0.42926,8.9282,0.37741,-0.43473,13.527,1,2.3883,13.068,12.25,3.155
8.9291,0.39063,-0.4334,8.9229,0.37987,-0.439,13.589,1,2.3984,13.078,12.25,3.155
8.924,0.39329,-0.43754,8.9175,0.38233,-0.44326,13.652,1,2.4084,13.088,12.25,3.155
8.9188,0.39594,-0.44168,8.9122,0.38479,-0.44753,13.715,1,2.4184,13.098,12.25,3.155
8.9137,0.3986,-0.44582,8.9069,0.38725,-0.4518,13.777,1,2.4285,13.108,12.25,3.155
8.9085,0.40125,-0.44996,8.9016,0.3897,-0.45606,13.84,1,2.4385,13.119,12.25,3.155
8.9034,0.4039,-0.4541,8.8962,0.39216,-0.46033,13.903,1,2.4485,13.129,12.25,3.155
8.8982,0.40656,-0.45825,8.8909,0.39462,-0.46459,13.965,1,2.4586,13.139,12.25,3.155
